Trial,Repetition,Task,Blur(D),Prep Cue,Lens Switch,Active Onset,Task Offset,Post-task,Baseline
1,1,Visual-only,1.0,910,900,402,902,13,14
2,1,Motor-only,0.0,910,900,300,800,13,14
3,1,Visuomotor,0.5,910,900,201,701,13,14
4,1,Visual-only,0.0,910,900,400,900,13,14
5,1,Visual-only,0.5,910,900,401,901,13,14
6,1,Visual-only,1.5,910,900,403,903,13,14
7,1,Visuomotor,1.5,910,900,203,703,13,14
8,1,Visuomotor,0.0,910,900,200,700,13,14
9,1,Visuomotor,1.0,910,900,202,702,13,14
10,1,Visuomotor,2.0,910,900,204,704,13,14
11,1,Visual-only,2.0,910,900,404,904,13,14
12,2,Visuomotor,2.0,910,900,204,704,13,14
13,2,Visual-only,2.0,910,900,404,904,13,14
14,2,Visuomotor,0.0,910,900,200,700,13,14
15,2,Visual-only,0.5,910,900,401,901,13,14
16,2,Visual-only,0.0,910,900,400,900,13,14
17,2,Visuomotor,0.5,910,900,201,701,13,14
18,2,Motor-only,0.0,910,900,300,800,13,14
19,2,Visuomotor,1.5,910,900,203,703,13,14
20,2,Visual-only,1.0,910,900,402,902,13,14
21,2,Visuomotor,1.0,910,900,202,702,13,14
22,2,Visual-only,1.5,910,900,403,903,13,14
23,3,Visual-only,1.5,910,900,403,903,13,14
24,3,Visuomotor,1.5,910,900,203,703,13,14
25,3,Motor-only,0.0,910,900,300,800,13,14
26,3,Visuomotor,1.0,910,900,202,702,13,14
27,3,Visual-only,2.0,910,900,404,904,13,14
28,3,Visuomotor,0.5,910,900,201,701,13,14
29,3,Visuomotor,0.0,910,900,200,700,13,14
30,3,Visual-only,0.5,910,900,401,901,13,14
31,3,Visual-only,1.0,910,900,402,902,13,14
32,3,Visuomotor,2.0,910,900,204,704,13,14
33,3,Visual-only,0.0,910,900,400,900,13,14
34,4,Visuomotor,0.5,910,900,201,701,13,14
35,4,Visual-only,0.0,910,900,400,900,13,14
36,4,Motor-only,0.0,910,900,300,800,13,14
37,4,Visuomotor,0.0,910,900,200,700,13,14
38,4,Visual-only,1.0,910,900,402,902,13,14
39,4,Visual-only,0.5,910,900,401,901,13,14
40,4,Visuomotor,2.0,910,900,204,704,13,14
41,4,Visuomotor,1.0,910,900,202,702,13,14
42,4,Visual-only,2.0,910,900,404,904,13,14
43,4,Visuomotor,1.5,910,900,203,703,13,14
44,4,Visual-only,1.5,910,900,403,903,13,14
45,5,Visuomotor,1.0,910,900,202,702,13,14
46,5,Visual-only,0.5,910,900,401,901,13,14
47,5,Visual-only,0.0,910,900,400,900,13,14
48,5,Visuomotor,0.5,910,900,201,701,13,14
49,5,Visual-only,1.5,910,900,403,903,13,14
50,5,Visuomotor,0.0,910,900,200,700,13,14
51,5,Visuomotor,1.5,910,900,203,703,13,14
52,5,Motor-only,0.0,910,900,300,800,13,14
53,5,Visual-only,1.0,910,900,402,902,13,14
54,5,Visuomotor,2.0,910,900,204,704,13,14
55,5,Visual-only,2.0,910,900,404,904,13,14
56,6,Visuomotor,0.0,910,900,200,700,13,14
57,6,Visual-only,1.0,910,900,402,902,13,14
58,6,Visual-only,0.5,910,900,401,901,13,14
59,6,Visual-only,1.5,910,900,403,903,13,14
60,6,Visual-only,2.0,910,900,404,904,13,14
61,6,Motor-only,0.0,910,900,300,800,13,14
62,6,Visuomotor,2.0,910,900,204,704,13,14
63,6,Visuomotor,1.5,910,900,203,703,13,14
64,6,Visuomotor,0.5,910,900,201,701,13,14
65,6,Visuomotor,1.0,910,900,202,702,13,14
66,6,Visual-only,0.0,910,900,400,900,13,14
